Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Original resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 12:15 AM;2.16;27.99;10.62;2.16;2.54;12.36;13.62;16.35;109.00;15.41;2.67;102.20;21.00;-;138.70;118.46;147.25
Jan 1, 2025 12:15 AM;Jan 1, 2025 12:30 AM;2.16;27.99;10.62;2.16;2.54;12.36;13.62;16.35;109.00;15.41;2.67;102.20;21.00;-;138.70;118.46;147.25
Jan 1, 2025 12:30 AM;Jan 1, 2025 12:45 AM;2.16;27.99;10.62;2.16;2.54;12.36;13.62;16.35;109.00;15.41;2.67;102.20;21.00;-;138.70;118.46;147.25
Jan 1, 2025 12:45 AM;Jan 1, 2025 1:00 AM;2.16;27.99;10.62;2.16;2.54;12.36;13.62;16.35;109.00;15.41;2.67;102.20;21.00;-;138.70;118.46;147.25
Jan 1, 2025 1:00 AM;Jan 1, 2025 1:15 AM;1.60;29.36;10.27;1.60;1.93;18.92;6.24;14.05;97.03;2.19;2.04;98.20;70.50;-;134.06;129.07;126.12
Jan 1, 2025 1:15 AM;Jan 1, 2025 1:30 AM;1.60;29.36;10.27;1.60;1.93;18.92;6.24;14.05;97.03;2.19;2.04;98.20;70.50;-;134.06;129.07;126.12
Jan 1, 2025 1:30 AM;Jan 1, 2025 1:45 AM;1.60;29.36;10.27;1.60;1.93;18.92;6.24;14.05;97.03;2.19;2.04;98.20;70.50;-;134.06;129.07;126.12
Jan 1, 2025 1:45 AM;Jan 1, 2025 2:00 AM;1.60;29.36;10.27;1.60;1.93;18.92;6.24;14.05;97.03;2.19;2.04;98.20;70.50;-;134.06;129.07;126.12
Jan 1, 2025 2:00 AM;Jan 1, 2025 2:15 AM;0.00;25.86;8.38;1.63;1.93;16.66;4.16;12.39;91.47;2.18;2.04;72.60;71.07;-;134.41;121.10;116.50
Jan 1, 2025 2:15 AM;Jan 1, 2025 2:30 AM;0.00;25.86;8.38;1.63;1.93;16.66;4.16;12.39;91.47;2.18;2.04;72.60;71.07;-;134.41;121.10;116.50
Jan 1, 2025 2:30 AM;Jan 1, 2025 2:45 AM;0.00;25.86;8.38;1.63;1.93;16.66;4.16;12.39;91.47;2.18;2.04;72.60;71.07;-;134.41;121.10;116.50
Jan 1, 2025 2:45 AM;Jan 1, 2025 3:00 AM;0.00;25.86;8.38;1.63;1.93;16.66;4.16;12.39;91.47;2.18;2.04;72.60;71.07;-;134.41;121.10;116.50
Jan 1, 2025 3:00 AM;Jan 1, 2025 3:15 AM;-0.01;22.10;6.61;1.09;1.43;13.10;3.28;13.21;72.87;1.69;1.54;67.85;60.45;-;131.99;94.28;71.49
Jan 1, 2025 3:15 AM;Jan 1, 2025 3:30 AM;-0.01;22.10;6.61;1.09;1.43;13.10;3.28;13.21;72.87;1.69;1.54;67.85;60.45;-;131.99;94.28;71.49
Jan 1, 2025 3:30 AM;Jan 1, 2025 3:45 AM;-0.01;22.10;6.61;1.09;1.43;13.10;3.28;13.21;72.87;1.69;1.54;67.85;60.45;-;131.99;94.28;71.49
Jan 1, 2025 3:45 AM;Jan 1, 2025 4:00 AM;-0.01;22.10;6.61;1.09;1.43;13.10;3.28;13.21;72.87;1.69;1.54;67.85;60.45;-;131.99;94.28;71.49
Jan 1, 2025 4:00 AM;Jan 1, 2025 4:15 AM;-0.01;20.38;2.29;0.47;1.04;5.90;0.68;12.23;77.42;0.09;1.18;62.87;60.01;-;131.99;63.69;68.66
Jan 1, 2025 4:15 AM;Jan 1, 2025 4:30 AM;-0.01;20.38;2.29;0.47;1.04;5.90;0.68;12.23;77.42;0.09;1.18;62.87;60.01;-;131.99;63.69;68.66
Jan 1, 2025 4:30 AM;Jan 1, 2025 4:45 AM;-0.01;20.38;2.29;0.47;1.04;5.90;0.68;12.23;77.42;0.09;1.18;62.87;60.01;-;131.99;63.69;68.66
Jan 1, 2025 4:45 AM;Jan 1, 2025 5:00 AM;-0.01;20.38;2.29;0.47;1.04;5.90;0.68;12.23;77.42;0.09;1.18;62.87;60.01;-;131.99;63.69;68.66
Jan 1, 2025 5:00 AM;Jan 1, 2025 5:15 AM;-0.06;21.71;3.01;0.00;2.28;9.27;0.00;6.73;95.01;1.16;2.38;58.99;60.01;-;131.99;102.26;41.58
Jan 1, 2025 5:15 AM;Jan 1, 2025 5:30 AM;-0.06;21.71;3.01;0.00;2.28;9.27;0.00;6.73;95.01;1.16;2.38;58.99;60.01;-;131.99;102.26;41.58
Jan 1, 2025 5:30 AM;Jan 1, 2025 5:45 AM;-0.06;21.71;3.01;0.00;2.28;9.27;0.00;6.73;95.01;1.16;2.38;58.99;60.01;-;131.99;102.26;41.58
Jan 1, 2025 5:45 AM;Jan 1, 2025 6:00 AM;-0.06;21.71;3.01;0.00;2.28;9.27;0.00;6.73;95.01;1.16;2.38;58.99;60.01;-;131.99;102.26;41.58
Jan 1, 2025 6:00 AM;Jan 1, 2025 6:15 AM;-0.09;21.88;3.52;0.76;1.15;10.04;0.76;15.37;95.08;0.04;1.29;68.57;44.06;-;138.00;99.93;32.45
Jan 1, 2025 6:15 AM;Jan 1, 2025 6:30 AM;-0.09;21.88;3.52;0.76;1.15;10.04;0.76;15.37;95.08;0.04;1.29;68.57;44.06;-;138.00;99.93;32.45
Jan 1, 2025 6:30 AM;Jan 1, 2025 6:45 AM;-0.09;21.88;3.52;0.76;1.15;10.04;0.76;15.37;95.08;0.04;1.29;68.57;44.06;-;138.00;99.93;32.45
Jan 1, 2025 6:45 AM;Jan 1, 2025 7:00 AM;-0.09;21.88;3.52;0.76;1.15;10.04;0.76;15.37;95.08;0.04;1.29;68.57;44.06;-;138.00;99.93;32.45
Jan 1, 2025 7:00 AM;Jan 1, 2025 7:15 AM;-0.01;20.22;2.55;0.79;1.35;7.23;0.79;16.11;101.00;0.08;1.49;74.03;17.00;-;140.15;93.56;30.46
Jan 1, 2025 7:15 AM;Jan 1, 2025 7:30 AM;-0.01;20.22;2.55;0.79;1.35;7.23;0.79;16.11;101.00;0.08;1.49;74.03;17.00;-;140.15;93.56;30.46
Jan 1, 2025 7:30 AM;Jan 1, 2025 7:45 AM;-0.01;20.22;2.55;0.79;1.35;7.23;0.79;16.11;101.00;0.08;1.49;74.03;17.00;-;140.15;93.56;30.46
