Timestamp;Heat demand kWh (heat);Heat Pump Demand kWh (electrical)
1735689600;62,13517707;19,41724283
1735693200;70,66717153;22,0834911
1735696800;85,69090091;26,77840653
1735700400;101,8274991;31,82109347
1735704000;90,32785443;28,22745451
1735707600;89,21498558;27,87968299
1735711200;87,9166386;27,47394956
1735714800;83,65064137;26,14082543
1735718400;79,75560042;24,92362513
1735722000;78,64273157;24,57585362
1735725600;74,56221248;23,3006914
1735729200;72,52195294;22,66311029
1735732800;74,37673434;23,24272948
1735736400;76,04603761;23,76438675
1735740000;74,93316876;23,41661524
1735743600;79,94107856;24,98158705
1735747200;80,86846926;25,27139664
1735750800;79,199166;24,74973938
1735754400;79,199166;24,74973938
1735758000;76,97342831;24,05419635
1735761600;67,51404314;21,09813848
1735765200;64,73187104;20,2287097
1735768800;61,02230823;19,06947132
1735772400;65,56729389;20,48977934
1735776000;67,4288259;21,07150809
1735779600;72,18607435;22,55814823
1735783200;78,80485481;24,62651713
1735786800;95,14496906;29,73280283
1735790400;109,2098775;34,12808672
1735794000;114,3807998;35,74399994
1735797600;111,8987571;34,96836159
1735801200;106,9346717;33,41708491
1735804800;101,3500757;31,67189866
1735808400;95,35180595;29,79743936
1735812000;91,00823127;28,44007227
1735815600;88,5261886;27,66443394
1735819200;87,07833038;27,21197824
1735822800;87,69884105;27,40588783
1735826400;88,5261886;27,66443394
1735830000;87,49200416;27,3412513
1735833600;85,42363526;26,69488602
1735837200;83,56210326;26,11315727
1735840800;82,52791881;25,78997463
1735844400;77,15015969;24,1094249
1735848000;67,63566279;21,13614462
1735851600;61,637393;19,26168531
1735855200;62,05106678;19,39095837
1735858800;71,88988874;22,46559023
1735862400;73,93092659;23,10341456
1735866000;79,14691221;24,73341007
1735869600;86,40393568;27,0012299
1735873200;104,3197124;32,59991013
1735876800;119,7408872;37,41902725
1735880400;125,4104368;39,1907615
1735884000;122,689053;38,34032906
1735887600;117,2462854;36,63946419
1735891200;111,1231719;34,72599122
1735894800;104,5464944;32,6707795
