raw_kwh_usage,c_variable_and_fixed_per_kwh
19.70705243,14.802
19.41724283,14.966
22.0834911,14.91
26.77840653,14.75
31.82109347,14.749
28.22745451,14.749
27.87968299,14.744
27.47394956,14.741
26.14082543,14.749
24.92362513,14.749
24.57585362,14.746
23.3006914,14.747
22.66311029,14.74
23.24272948,14.745
23.76438675,14.74
23.41661524,14.649
24.98158705,14.749
25.27139664,14.749
24.74973938,14.757
24.74973938,14.851
24.05419635,14.898
21.09813848,14.85
20.2287097,14.757
19.06947132,15.755
20.48977934,15.451
21.07150809,15.005
22.55814823,14.906
24.62651713,15.095
29.73280283,15.452
34.12808672,16.025
35.74399994,17.757
34.96836159,21.463
33.41708491,24.633
31.67189866,26.903
29.79743936,27.473
28.44007227,27.384999999999998
27.66443394,26.747
27.21197824,26.345
27.40588783,26.14
27.66443394,26.971
27.3412513,27.761000000000003
26.69488602,28.609
26.11315727,30.037
25.78997463,30.044
24.1094249,28.665
21.13614462,27.75
19.26168531,26.728
19.39095837,26.092
22.46559023,22.997
23.10341456,24.706
24.73341007,23.503
27.0012299,23.251
32.59991013,23.129
37.41902725,22.5
39.1907615,22.738
38.34032906,23.106
36.63946419,22.593
34.72599122,23.006999999999998
32.6707795,22.826
31.18252272,22.514
30.33209028,21.798000000000002
29.83600469,21.744
30.0486128,22.53
30.33209028,22.631
29.97774343,23.279
29.26904973,25.301000000000002
28.63122541,26.416
28.27687856,26.256
26.43427494,26.241
23.17428393,26.08
21.11907221,25.53
21.26081094,24.572
22.82315518,23.607
23.56416671,23.793
24.74978516,23.779
25.86130245,23.77
32.23400163,23.902
38.97720656,24.345
40.60743194,24.961
41.27434231,25.816
38.75490309,26.746
36.60596966,27.589
35.19804775,27.825
33.64192353,27.784
32.23400163,27.579
31.937597,27.753
31.86349584,27.735
31.41888894,28.39
31.34478778,28.622
31.27068663,28.95
30.60377626,29.874000000000002
29.12175319,29.134999999999998
27.0469209,28.546
24.675684,27.699
22.82315518,27.033
22.37854825,26.579
22.71946636,25.698999999999998
22.71946636,26.134
23.8345322,24.783
25.50713095,24.111
31.9187595,24.137
37.42439703,23.688
38.33038803,23.105
36.30933122,23.142
34.98519053,23.003
33.52166663,23.155
32.61567563,23.665
31.15215173,23.045
29.89770267,23.631999999999998
29.47955298,22.916
28.36448715,22.589
28.78263683,21.55
